id,nome,cidade,status,valor
0,Joao 0,"Sao Paulo, SP",hot,0
1,Joao 1,"Sao Paulo, SP",cold,1
2,Joao 2,"Sao Paulo, SP",cold,2
3,Joao 3,"Sao Paulo, SP",cold,3
4,Joao 4,"Sao Paulo, SP",cold,4
5,Joao 5,"Sao Paulo, SP",cold,5
6,Joao 6,"Sao Paulo, SP",cold,6
7,Joao 7,"Sao Paulo, SP",cold,7
8,Joao 8,"Sao Paulo, SP",cold,8
9,Joao 9,"Sao Paulo, SP",cold,9
10,Joao 10,"Sao Paulo, SP",hot,10
11,Joao 11,"Sao Paulo, SP",cold,11
12,Joao 12,"Sao Paulo, SP",cold,12
13,Joao 13,"Sao Paulo, SP",cold,13
14,Joao 14,"Sao Paulo, SP",cold,14
15,Joao 15,"Sao Paulo, SP",cold,15
16,Joao 16,"Sao Paulo, SP",cold,16
17,Joao 17,"Sao Paulo, SP",cold,17
18,Joao 18,"Sao Paulo, SP",cold,18
19,Joao 19,"Sao Paulo, SP",cold,19
20,Joao 20,"Sao Paulo, SP",hot,20
21,Joao 21,"Sao Paulo, SP",cold,21
22,Joao 22,"Sao Paulo, SP",cold,22
23,Joao 23,"Sao Paulo, SP",cold,23
24,Joao 24,"Sao Paulo, SP",cold,24
25,Joao 25,"Sao Paulo, SP",cold,25
26,Joao 26,"Sao Paulo, SP",cold,26
27,Joao 27,"Sao Paulo, SP",cold,27
28,Joao 28,"Sao Paulo, SP",cold,28
29,Joao 29,"Sao Paulo, SP",cold,29
30,Joao 30,"Sao Paulo, SP",hot,30
31,Joao 31,"Sao Paulo, SP",cold,31
32,Joao 32,"Sao Paulo, SP",cold,32
33,Joao 33,"Sao Paulo, SP",cold,33
34,Joao 34,"Sao Paulo, SP",cold,34
35,Joao 35,"Sao Paulo, SP",cold,35
36,Joao 36,"Sao Paulo, SP",cold,36
37,Joao 37,"Sao Paulo, SP",cold,37
38,Joao 38,"Sao Paulo, SP",cold,38
39,Joao 39,"Sao Paulo, SP",cold,39
40,Joao 40,"Sao Paulo, SP",hot,40
41,Joao 41,"Sao Paulo, SP",cold,41
42,Joao 42,"Sao Paulo, SP",cold,42
43,Joao 43,"Sao Paulo, SP",cold,43
44,Joao 44,"Sao Paulo, SP",cold,44
45,Joao 45,"Sao Paulo, SP",cold,45
46,Joao 46,"Sao Paulo, SP",cold,46
47,Joao 47,"Sao Paulo, SP",cold,47
48,Joao 48,"Sao Paulo, SP",cold,48
49,Joao 49,"Sao Paulo, SP",cold,49
50,Joao 50,"Sao Paulo, SP",hot,50
51,Joao 51,"Sao Paulo, SP",cold,51
52,Joao 52,"Sao Paulo, SP",cold,52
53,Joao 53,"Sao Paulo, SP",cold,53
54,Joao 54,"Sao Paulo, SP",cold,54
55,Joao 55,"Sao Paulo, SP",cold,55
56,Joao 56,"Sao Paulo, SP",cold,56
57,Joao 57,"Sao Paulo, SP",cold,57
58,Joao 58,"Sao Paulo, SP",cold,58
59,Joao 59,"Sao Paulo, SP",cold,59
60,Joao 60,"Sao Paulo, SP",hot,60
61,Joao 61,"Sao Paulo, SP",cold,61
62,Joao 62,"Sao Paulo, SP",cold,62
63,Joao 63,"Sao Paulo, SP",cold,63
64,Joao 64,"Sao Paulo, SP",cold,64
65,Joao 65,"Sao Paulo, SP",cold,65
66,Joao 66,"Sao Paulo, SP",cold,66
67,Joao 67,"Sao Paulo, SP",cold,67
68,Joao 68,"Sao Paulo, SP",cold,68
69,Joao 69,"Sao Paulo, SP",cold,69
70,Joao 70,"Sao Paulo, SP",hot,70
71,Joao 71,"Sao Paulo, SP",cold,71
72,Joao 72,"Sao Paulo, SP",cold,72
73,Joao 73,"Sao Paulo, SP",cold,73
74,Joao 74,"Sao Paulo, SP",cold,74
75,Joao 75,"Sao Paulo, SP",cold,75
76,Joao 76,"Sao Paulo, SP",cold,76
77,Joao 77,"Sao Paulo, SP",cold,77
78,Joao 78,"Sao Paulo, SP",cold,78
79,Joao 79,"Sao Paulo, SP",cold,79
80,Joao 80,"Sao Paulo, SP",hot,80
81,Joao 81,"Sao Paulo, SP",cold,81
82,Joao 82,"Sao Paulo, SP",cold,82
83,Joao 83,"Sao Paulo, SP",cold,83
84,Joao 84,"Sao Paulo, SP",cold,84
85,Joao 85,"Sao Paulo, SP",cold,85
86,Joao 86,"Sao Paulo, SP",cold,86
87,Joao 87,"Sao Paulo, SP",cold,87
88,Joao 88,"Sao Paulo, SP",cold,88
89,Joao 89,"Sao Paulo, SP",cold,89
90,Joao 90,"Sao Paulo, SP",hot,90
91,Joao 91,"Sao Paulo, SP",cold,91
92,Joao 92,"Sao Paulo, SP",cold,92
93,Joao 93,"Sao Paulo, SP",cold,93
94,Joao 94,"Sao Paulo, SP",cold,94
95,Joao 95,"Sao Paulo, SP",cold,95
96,Joao 96,"Sao Paulo, SP",cold,96
97,Joao 97,"Sao Paulo, SP",cold,97
98,Joao 98,"Sao Paulo, SP",cold,98
99,Joao 99,"Sao Paulo, SP",cold,99
100,Joao 100,"Sao Paulo, SP",hot,100
101,Joao 101,"Sao Paulo, SP",cold,101
102,Joao 102,"Sao Paulo, SP",cold,102
103,Joao 103,"Sao Paulo, SP",cold,103
104,Joao 104,"Sao Paulo, SP",cold,104
105,Joao 105,"Sao Paulo, SP",cold,105
106,Joao 106,"Sao Paulo, SP",cold,106
107,Joao 107,"Sao Paulo, SP",cold,107
108,Joao 108,"Sao Paulo, SP",cold,108
109,Joao 109,"Sao Paulo, SP",cold,109
110,Joao 110,"Sao Paulo, SP",hot,110
